Unit,Location,Teaching Period,Activity Type,Sequence,Days,Time,Duration,Start Date,End Date,Venue,Teaching Staff,Semester Weeks,Calendar Weeks,Comments,Unit Comments
SMA101 Mathematics 1A,Casuarina,Semester 1,Lecture,A/01,Monday,09:00-11:00,02:00,07/03/2022,30/05/2022,CAS.Pink 7.1.05#,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,Casuarina,Semester 1,Lecture,B/01,Tuesday,09:00-11:00,02:00,08/03/2022,31/05/2022,CAS.Purple 12.3.17#CAD Lab,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,Casuarina,Semester 1,Tutorial,A/01,Monday,14:00-16:00,02:00,07/03/2022,30/05/2022,CAS.Pink 7.1.05#,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,Casuarina,Semester 1,Tutorial,A/02,Tuesday,14:00-16:00,02:00,08/03/2022,31/05/2022,CAS.Pink 7.1.05#,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,External,Semester 1,Online Lecture,A/01,Monday,09:00-11:00,02:00,07/03/2022,30/05/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,External,Semester 1,Online Lecture,B/01,Tuesday,09:00-11:00,02:00,08/03/2022,31/05/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,External,Semester 1,Online Tutorial,A/01,Wednesday,15:00-16:00,01:00,09/03/2022,01/06/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA102 Mathematics 1B,External,Semester 1,Online Tutorial,A/02,Tuesday,12:30-14:00,01:30,08/03/2022,31/05/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA102 Mathematics 1B,External,Semester 1,Online Tutorial,A/01,Friday,10:30-12:00,01:30,11/03/2022,03/06/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA104 Concepts of Mathematics,Casuarina,Semester 1,Lecture,A/01,Wednesday,08:30-10:30,02:00,09/03/2022,01/06/2022,CAS.Pink 7.1.05#,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA104 Concepts of Mathematics,Casuarina,Semester 1,Tutorial,"A/01 <10-14, 17-22>",Friday,13:00-15:00,02:00,11/03/2022,03/06/2022,CAS.Pink 7.1.05#,"Ompong, David","'1-5,7-12","'10-14,17-22",,There are no messages posted for this unit
SMA104 Concepts of Mathematics,Casuarina,Semester 1,Tutorial,A/01 <15>,Thursday,17:00-19:00,02:00,14/04/2022,14/04/2022,CAS.Pink 7.1.05#,"Ompong, David",'6,'15,,There are no messages posted for this unit
SMA104 Concepts of Mathematics,External,Semester 1,Online Lecture,A/01,Wednesday,08:30-10:30,02:00,09/03/2022,01/06/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA104 Concepts of Mathematics,External,Semester 1,Online Tutorial,A/01,Friday,15:00-16:00,01:00,11/03/2022,03/06/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA209 Mathematics 2,Casuarina,Semester 1,Lecture,A/01,Tuesday,11:00-13:00,02:00,08/03/2022,31/05/2022,CAS.Blue 5.1.01#,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA209 Mathematics 2,Casuarina,Semester 1,Tutorial,A/01,Tuesday,14:00-16:00,02:00,08/03/2022,31/05/2022,CAS.Blue 5.1.01#,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA209 Mathematics 2,External,Semester 1,Online Lecture,A/01,Tuesday,11:00-13:00,02:00,08/03/2022,31/05/2022,,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA209 Mathematics 2,External,Semester 1,Online Tutorial,A/01,Tuesday,14:00-16:00,02:00,08/03/2022,31/05/2022,,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ECM281 Teaching the Curriculum: Junior Secondary English,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ECM551 Teaching the Curriculum: Junior Secondary Languages Other Than English,Casuarina,Semester 1,Lecture,A/01,Monday,14:00-15:00,01:00,07/03/2022,30/05/2022,CAS.Red 6.1.09,"Gromik, Nicolas","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ECM551 Teaching the Curriculum: Junior Secondary Languages Other Than English,External,Semester 1,Online Lecture/Tutorial,A/01,Monday,15:30-16:30,01:00,07/03/2022,30/05/2022,,"Gromik, Nicolas","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ECM581 Teaching the Curriculum: Junior Secondary English,Casuarina,Semester 1,Lecture/Tutorial,A/01,Wednesday,09:00-11:30,02:30,09/03/2022,01/06/2022,CAS.Blue 1.1.14#,"Angel, Khyiah","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ECM581 Teaching the Curriculum: Junior Secondary English,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
"ELA100 English, Language and Literacy in Education 1",Casuarina,Semester 1,Workshop - Lecture,A/01,Monday,09:00-12:00,03:00,07/03/2022,30/05/2022,CAS.Blue 2A.1.01#,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA100 English, Language and Literacy in Education 1",External,Semester 1,Online Workshop,A/01,Monday,09:00-12:00,03:00,07/03/2022,30/05/2022,,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA200 English, Language and Literacy in Education 2",Casuarina,Semester 1,Lecture/Tutorial,A/01,Tuesday,17:00-18:30,01:30,08/03/2022,31/05/2022,CAS.Orange 2.4.07 #,"Jalloh, Sulay","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA200 English, Language and Literacy in Education 2",External,Semester 1,Online Lecture/Tutorial,A/01,Tuesday,17:00-18:30,01:30,08/03/2022,31/05/2022,,"Jalloh, Sulay","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA201 Teaching English as An Additional Language,Casuarina,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ELA201 Teaching English as An Additional Language,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
"ELA300 English, Language and Literacy in Education 3",Casuarina,Semester 1,Lecture/Tutorial,A/01,Monday,13:00-15:00,02:00,07/03/2022,30/05/2022,CAS.Blue 1.1.14#,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA300 English, Language and Literacy in Education 3",External,Semester 1,Online Lecture/Tutorial,A/01,Monday,13:00-15:00,02:00,07/03/2022,30/05/2022,,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA511 English, Language and Literacy",Casuarina,Semester 1,Lecture/Tutorial,A/01,Thursday,11:00-13:00,02:00,10/03/2022,02/06/2022,CAS.Blue 1.1.42#,"Freeman, Leonard","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA511 English, Language and Literacy",External,Semester 1,Online Lecture/Tutorial,A/01,Thursday,11:00-13:00,02:00,10/03/2022,02/06/2022,,"Freeman, Leonard","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA512 English Literacy: Reading and Writing,Casuarina,Semester 1,Lecture/Tutorial,A/01,Tuesday,09:00-12:00,03:00,08/03/2022,31/05/2022,CAS.Blue 2A.1.01#,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA512 English Literacy: Reading and Writing,External,Semester 1,Online Lecture/Tutorial,A/01,Tuesday,09:00-12:00,03:00,08/03/2022,31/05/2022,,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA513 English as An Additional Language,Casuarina,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ELA513 English as An Additional Language,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ELA515 Primary Specialisation: English and Literature,Casuarina,Semester 1,Lecture/Practical,A/01,Thursday,10:00-11:00,01:00,10/03/2022,02/06/2022,CAS.Red 6.1.10,"Angel, Khyiah","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
